Table with column headers in rows 3 and 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2016 Poverty and Median Household Income Estimates - States and National
Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program
Release Date:  November 2017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geographic Information,,,All Ages,,,,,,Age 0-17,,,,,,Age 5-17 in Families,,,,,,Median Household Income,,,Age 0-4,,,,,
State FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-17",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Age 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Age 0-4",90% CI Lower Bound,90% CI Upper Bound
00,US,United States,"44,268,996","44,022,086","44,515,906",14.0,13.9,14.1,"14,115,713","13,976,345","14,255,081",19.5,19.3,19.7,"9,648,486","9,548,767","9,748,205",18.3,18.1,18.5,"57,617","57,502","57,732","4,156,949","4,108,397","4,205,501",21.3,21.1,21.5
01,AL,Alabama,"814,197","796,927","831,467",17.2,16.8,17.6,"267,674","258,276","277,072",24.7,23.8,25.6,"185,889","177,569","194,209",23.5,22.4,24.6,"46,309","45,650","46,968","78,675","74,257","83,093",27.4,25.9,28.9
02,AK,Alaska,"71,916","67,813","76,019",9.9,9.3,10.5,"24,897","22,566","27,228",13.6,12.3,14.9,"16,061","13,965","18,157",12.3,10.7,13.9,"76,144","74,375","77,913","7,919","6,898","8,940",15.1,13.2,17.0
04,AZ,Arizona,"1,107,153","1,086,482","1,127,824",16.4,16.1,16.7,"377,445","365,817","389,073",23.6,22.9,24.3,"263,614","253,154","274,074",22.6,21.7,23.5,"53,481","52,863","54,099","106,817","101,686","111,948",24.9,23.7,26.1
05,AR,Arkansas,"497,388","485,180","509,596",17.2,16.8,17.6,"165,724","158,736","172,712",24.0,23.0,25.0,"112,376","106,203","118,549",22.3,21.1,23.5,"44,406","43,530","45,282","50,341","47,095","53,587",27.3,25.5,29.1
06,CA,California,"5,527,621","5,475,835","5,579,407",14.4,14.3,14.5,"1,782,764","1,754,881","1,810,647",19.9,19.6,20.2,"1,242,780","1,218,049","1,267,511",19.2,18.8,19.6,"67,715","67,361","68,069","502,432","489,415","515,449",20.7,20.2,21.2
08,CO,Colorado,"598,378","585,017","611,739",11.0,10.8,11.2,"166,581","158,879","174,283",13.4,12.8,14.0,"115,917","109,303","122,531",12.8,12.1,13.5,"65,718","65,097","66,339","46,111","42,217","50,005",13.9,12.7,15.1
09,CT,Connecticut,"342,171","330,966","353,376",9.9,9.6,10.2,"97,462","91,333","103,591",13.1,12.3,13.9,"67,644","61,924","73,364",12.1,11.1,13.1,"73,380","72,386","74,374","27,362","24,926","29,798",15.2,13.8,16.6
10,DE,Delaware,"109,592","104,742","114,442",11.8,11.3,12.3,"35,702","33,039","38,365",17.7,16.4,19.0,"23,942","21,621","26,263",16.3,14.7,17.9,"62,112","60,792","63,432","10,824","9,579","12,069",20.1,17.8,22.4
11,DC,District of Columbia,"119,778","113,591","125,965",18.5,17.5,19.5,"32,715","29,457","35,973",27.6,24.9,30.3,"21,997","19,147","24,847",29.0,25.2,32.8,"74,093","71,880","76,306","10,033","8,628","11,438",23.7,20.4,27.0
12,FL,Florida,"2,986,237","2,947,397","3,025,077",14.8,14.6,15.0,"869,892","848,431","891,353",21.3,20.8,21.8,"594,181","575,167","613,195",20.1,19.5,20.7,"50,857","50,616","51,098","259,244","249,470","269,018",23.5,22.6,24.4
13,GA,Georgia,"1,612,368","1,586,263","1,638,473",16.1,15.8,16.4,"572,102","555,546","588,658",23.1,22.4,23.8,"390,690","375,891","405,489",21.5,20.7,22.3,"53,468","52,778","54,158","172,046","164,841","179,251",26.6,25.5,27.7
15,HI,Hawaii,"132,597","125,573","139,621",9.5,9.0,10.0,"33,801","30,628","36,974",11.2,10.1,12.3,"21,877","19,032","24,722",10.4,9.1,11.7,"74,659","73,083","76,235","10,436","8,986","11,886",11.8,10.2,13.4
16,ID,Idaho,"228,037","218,768","237,306",13.8,13.2,14.4,"71,836","66,858","76,814",16.6,15.4,17.8,"47,196","42,727","51,665",15.0,13.6,16.4,"51,647","50,736","52,558","22,375","20,239","24,511",19.7,17.8,21.6
17,IL,Illinois,"1,620,974","1,595,624","1,646,324",13.0,12.8,13.2,"512,256","497,759","526,753",17.8,17.3,18.3,"356,538","344,146","368,930",16.8,16.2,17.4,"60,977","60,591","61,363","145,710","138,489","152,931",19.3,18.3,20.3
18,IN,Indiana,"899,168","881,690","916,646",14.0,13.7,14.3,"294,900","283,937","305,863",19.1,18.4,19.8,"201,287","191,316","211,258",17.9,17.0,18.8,"52,289","51,922","52,656","85,922","81,057","90,787",21.0,19.8,22.2
19,IA,Iowa,"354,429","345,224","363,634",11.7,11.4,12.0,"104,340","98,793","109,887",14.6,13.8,15.4,"67,487","62,487","72,487",13.0,12.0,14.0,"56,354","55,677","57,031","33,771","31,346","36,196",17.4,16.2,18.6
20,KS,Kansas,"343,773","333,475","354,071",12.2,11.8,12.6,"100,996","95,278","106,714",14.3,13.5,15.1,"67,810","62,874","72,746",13.2,12.2,14.2,"54,828","53,976","55,680","30,377","27,577","33,177",16.0,14.5,17.5
21,KY,Kentucky,"782,779","766,290","799,268",18.2,17.8,18.6,"241,231","232,633","249,829",24.4,23.5,25.3,"164,086","156,662","171,510",23.0,22.0,24.0,"46,610","46,022","47,198","70,987","66,861","75,113",26.6,25.1,28.1
22,LA,Louisiana,"911,970","893,612","930,328",20.1,19.7,20.5,"310,392","300,027","320,757",28.4,27.5,29.3,"214,016","205,039","222,993",27.3,26.2,28.4,"45,374","44,621","46,127","91,982","86,699","97,265",30.3,28.6,32.0
23,ME,Maine,"159,523","153,218","165,828",12.3,11.8,12.8,"41,428","38,420","44,436",16.7,15.5,17.9,"28,137","25,440","30,834",15.3,13.8,16.8,"52,926","51,690","54,162","11,695","10,370","13,020",18.7,16.6,20.8
24,MD,Maryland,"572,786","559,536","586,036",9.7,9.5,9.9,"172,868","165,445","180,291",13.0,12.4,13.6,"117,468","111,438","123,498",12.2,11.6,12.8,"78,787","78,070","79,504","50,081","46,056","54,106",13.9,12.8,15.0
25,MA,Massachusetts,"688,366","672,883","703,849",10.5,10.3,10.7,"184,610","176,848","192,372",13.6,13.0,14.2,"123,789","117,583","129,995",12.4,11.8,13.0,"75,207","74,461","75,953","54,952","50,579","59,325",15.5,14.3,16.7
26,MI,Michigan,"1,449,683","1,430,043","1,469,323",14.9,14.7,15.1,"444,100","433,082","455,118",20.7,20.2,21.2,"297,400","287,719","307,081",18.9,18.3,19.5,"52,436","52,038","52,834","133,735","128,718","138,752",23.9,23.0,24.8
27,MN,Minnesota,"531,789","519,414","544,164",9.9,9.7,10.1,"158,751","151,529","165,973",12.5,11.9,13.1,"106,426","100,077","112,775",11.6,10.9,12.3,"65,583","64,989","66,177","46,337","43,019","49,655",13.4,12.4,14.4
28,MS,Mississippi,"606,873","592,527","621,219",21.0,20.5,21.5,"214,012","206,057","221,967",30.2,29.1,31.3,"151,716","144,647","158,785",29.1,27.7,30.5,"41,793","41,247","42,339","59,513","55,912","63,114",32.1,30.2,34.0
29,MO,Missouri,"826,358","809,923","842,793",14.0,13.7,14.3,"260,867","250,937","270,797",19.2,18.5,19.9,"171,750","162,974","180,526",17.5,16.6,18.4,"51,713","51,343","52,083","80,199","75,816","84,582",22.0,20.8,23.2
30,MT,Montana,"136,439","130,979","141,899",13.4,12.9,13.9,"36,016","33,426","38,606",16.1,14.9,17.3,"24,064","21,753","26,375",15.0,13.6,16.4,"50,265","49,243","51,287","10,940","9,737","12,143",17.8,15.8,19.8
31,NE,Nebraska,"208,864","201,705","216,023",11.3,10.9,11.7,"64,333","59,964","68,702",13.9,13.0,14.8,"41,851","38,134","45,568",12.6,11.5,13.7,"56,979","56,240","57,718","20,548","18,295","22,801",15.8,14.1,17.5
32,NV,Nevada,"407,308","394,452","420,164",14.1,13.7,14.5,"132,012","125,182","138,842",19.9,18.9,20.9,"88,913","82,870","94,956",18.5,17.2,19.8,"55,201","54,342","56,060","39,500","36,363","42,637",22.0,20.3,23.7
33,NH,New Hampshire,"97,753","92,007","103,499",7.6,7.2,8.0,"21,896","19,487","24,305",8.5,7.6,9.4,"14,329","12,204","16,454",7.5,6.4,8.6,"70,986","69,715","72,257","6,300","5,187","7,413",10.0,8.2,11.8
34,NJ,New Jersey,"915,390","895,106","935,674",10.4,10.2,10.6,"283,761","271,344","296,178",14.5,13.9,15.1,"197,218","186,415","208,021",13.6,12.9,14.3,"76,212","75,530","76,894","81,390","75,620","87,160",15.9,14.8,17.0
35,NM,New Mexico,"390,461","380,077","400,845",19.1,18.6,19.6,"134,546","128,423","140,669",27.8,26.5,29.1,"93,042","87,819","98,265",26.2,24.7,27.7,"46,844","46,050","47,638","39,733","36,561","42,905",31.4,28.9,33.9
36,NY,New York,"2,843,954","2,812,221","2,875,687",14.8,14.6,15.0,"853,769","837,330","870,208",20.8,20.4,21.2,"585,700","571,575","599,825",19.8,19.3,20.3,"62,700","62,081","63,319","252,227","244,220","260,234",22.3,21.6,23.0
37,NC,North Carolina,"1,523,034","1,498,821","1,547,247",15.4,15.2,15.6,"490,775","476,734","504,816",21.7,21.1,22.3,"336,152","324,288","348,016",20.3,19.6,21.0,"50,595","50,305","50,885","143,903","136,635","151,171",24.3,23.1,25.5
38,ND,North Dakota,"76,951","72,578","81,324",10.5,9.9,11.1,"20,518","18,466","22,570",11.9,10.7,13.1,"12,289","10,587","13,991",10.5,9.0,12.0,"61,898","60,498","63,298","7,421","6,279","8,563",13.7,11.6,15.8
39,OH,Ohio,"1,639,636","1,614,177","1,665,095",14.5,14.3,14.7,"521,730","506,894","536,566",20.4,19.8,21.0,"348,713","335,691","361,735",18.7,18.0,19.4,"52,357","52,083","52,631","160,833","153,884","167,782",23.7,22.7,24.7
40,OK,Oklahoma,"615,050","603,867","626,233",16.1,15.8,16.4,"212,700","205,486","219,914",22.5,21.7,23.3,"143,615","137,398","149,832",21.1,20.2,22.0,"49,204","48,594","49,814","64,653","61,316","67,990",24.9,23.6,26.2
